#table=users
#types=int,text,bool,date,timestamp,uuid
id,name,is_active,birthday,created_at,user_uuid
1,User_001,true,1990-01-02,2026-01-05 10:00:00,550e8400-e29b-41d4-a716-446655440101
2,User_002,false,1989-02-03,2026-01-05 10:01:00,550e8400-e29b-41d4-a716-446655440102
3,User_003,true,1988-03-04,2026-01-05 10:02:00,550e8400-e29b-41d4-a716-446655440103
4,User_004,false,1987-04-05,2026-01-05 10:03:00,550e8400-e29b-41d4-a716-446655440104
5,User_005,true,1986-05-06,2026-01-05 10:04:00,550e8400-e29b-41d4-a716-446655440105
6,"",false,1985-06-07,2026-01-05 10:05:00,550e8400-e29b-41d4-a716-446655440106
7,User_007,true,NULL,2026-01-05 10:06:00,550e8400-e29b-41d4-a716-446655440107
8,User_008,false,1983-08-09,DEFAULT,550e8400-e29b-41d4-a716-446655440108
9,User_009,true,1982-09-10,2026-01-05 10:08:00,550e8400-e29b-41d4-a716-446655440109
10,User_010,false,1981-10-11,2026-01-05 10:09:00,550e8400-e29b-41d4-a716-446655440110
11,User_011,true,1980-11-12,2026-01-05 10:10:00,550e8400-e29b-41d4-a716-446655440111
12,User_012,false,1979-12-13,2026-01-05 10:11:00,550e8400-e29b-41d4-a716-446655440112
13,User_013,true,1978-01-14,2026-01-05 10:12:00,550e8400-e29b-41d4-a716-446655440113
14,User_014,false,1977-02-15,2026-01-05 10:13:00,550e8400-e29b-41d4-a716-446655440114
15,User_015,true,NULL,2026-01-05 10:14:00,550e8400-e29b-41d4-a716-446655440115
16,User_016,false,1975-04-17,DEFAULT,550e8400-e29b-41d4-a716-446655440116
17,User_017,true,1974-05-18,2026-01-05 10:16:00,550e8400-e29b-41d4-a716-446655440117
18,"",false,1973-06-19,2026-01-05 10:17:00,550e8400-e29b-41d4-a716-446655440118
19,User_019,true,1972-07-20,2026-01-05 10:18:00,550e8400-e29b-41d4-a716-446655440119
20,User_020,false,1971-08-21,2026-01-05 10:19:00,550e8400-e29b-41d4-a716-446655440120
21,User_021,true,1970-09-22,2026-01-05 10:20:00,550e8400-e29b-41d4-a716-446655440121
22,User_022,false,NULL,2026-01-05 10:21:00,550e8400-e29b-41d4-a716-446655440122
23,User_023,true,1968-11-24,DEFAULT,550e8400-e29b-41d4-a716-446655440123
24,User_024,false,1967-12-25,2026-01-05 10:23:00,550e8400-e29b-41d4-a716-446655440124
25,User_025,true,1966-01-26,2026-01-05 10:24:00,550e8400-e29b-41d4-a716-446655440125
26,User_026,false,1965-02-27,2026-01-05 10:25:00,550e8400-e29b-41d4-a716-446655440126
27,"",true,1964-03-28,2026-01-05 10:26:00,550e8400-e29b-41d4-a716-446655440127
28,User_028,false,NULL,2026-01-05 10:27:00,550e8400-e29b-41d4-a716-446655440128
29,User_029,true,1962-05-30,DEFAULT,550e8400-e29b-41d4-a716-446655440129
30,User_030,false,1961-06-01,2026-01-05 10:29:00,550e8400-e29b-41d4-a716-446655440130
